-nan -nan
961.363 2.09792e+06
955.084 2.11386e+06
948.857 2.08076e+06
942.681 2.06937e+06
936.554 2.10319e+06
930.478 2.12004e+06
924.45 2.07193e+06
918.472 2.0851e+06
912.541 2.08217e+06
906.658 2.07549e+06
900.823 2.09506e+06
895.034 2.08423e+06
889.292 2.07118e+06
883.596 2.10753e+06
877.945 2.08304e+06
872.34 2.10065e+06
866.779 2.07343e+06
861.262 2.10519e+06
855.789 2.08751e+06
850.359 2.07151e+06
844.973 2.09825e+06
839.629 2.09068e+06
834.327 2.11489e+06
829.067 2.09726e+06
823.848 2.11018e+06
818.671 2.07903e+06
813.534 2.07741e+06
808.437 2.0715e+06
803.38 2.10787e+06
798.362 2.07322e+06
793.384 2.09572e+06
788.444 2.08046e+06
783.543 2.10266e+06
778.679 2.1187e+06
773.854 2.08154e+06
769.065 2.11881e+06
764.314 2.07992e+06
759.599 2.1033e+06
754.921 2.11545e+06
750.278 2.10266e+06
745.671 2.06818e+06
741.1 2.10144e+06
736.563 2.09407e+06
732.061 2.08968e+06
727.594 2.08434e+06
723.16 2.06914e+06
718.76 2.08871e+06
714.393 2.11275e+06
710.06 2.10974e+06
705.759 2.06775e+06
701.491 2.0911e+06
697.255 2.07375e+06
693.051 2.09581e+06
688.879 2.09221e+06
684.738 2.10111e+06
680.628 2.08717e+06
676.549 2.10076e+06
672.5 2.09099e+06
668.482 2.06807e+06
664.493 2.11288e+06
660.535 2.08152e+06
656.605 2.11487e+06
652.705 2.09341e+06
648.834 2.10463e+06
644.991 2.08337e+06
641.177 2.07021e+06
637.391 2.09517e+06
633.633 2.07055e+06
629.902 2.07774e+06
626.199 2.11881e+06
622.523 2.11185e+06
618.874 2.07668e+06
615.252 2.08577e+06
611.656 2.0685e+06
608.086 2.09405e+06
604.542 2.10751e+06
601.024 2.0885e+06
597.532 2.07034e+06
594.065 2.07916e+06
590.623 2.1074e+06
587.206 2.07193e+06
583.814 2.07354e+06
580.446 2.11668e+06
577.102 2.07053e+06
573.783 2.10188e+06
570.487 2.07451e+06
567.215 2.07515e+06
563.966 2.09044e+06
560.74 2.09955e+06
557.538 2.09779e+06
554.358 2.11107e+06
551.201 2.10109e+06
548.066 2.11119e+06
544.954 2.08566e+06
541.864 2.11969e+06
538.795 2.07365e+06
535.748 2.1074e+06
532.723 2.10809e+06
529.719 2.11297e+06
526.736 2.08817e+06
523.774 2.07076e+06
520.833 2.10676e+06
517.913 2.08545e+06
515.013 2.10408e+06
512.133 2.10476e+06
509.273 2.10188e+06
506.434 2.08512e+06
503.614 2.08012e+06
500.813 2.09869e+06
498.032 2.09471e+06
495.271 2.10664e+06
492.528 2.08804e+06
489.805 2.10585e+06
487.1 2.07797e+06
484.414 2.06593e+06
481.746 2.11299e+06
479.097 2.11991e+06
476.465 2.07591e+06
473.852 2.10432e+06
471.257 2.09911e+06
468.68 2.10663e+06
466.12 2.09046e+06
463.577 2.08632e+06
461.052 2.11422e+06
458.544 2.07119e+06
456.053 2.09702e+06
453.579 2.11556e+06
451.122 2.08739e+06
448.681 2.10653e+06
446.257 2.10275e+06
443.849 2.1041e+06
441.457 2.09405e+06
439.082 2.11364e+06
436.722 2.0825e+06
434.378 2.11174e+06
432.05 2.10187e+06
429.737 2.11263e+06
427.44 2.10629e+06
425.159 2.07722e+06
422.892 2.06903e+06
420.641 2.06871e+06
418.404 2.09625e+06
416.182 2.0875e+06
413.975 2.07786e+06
411.783 2.11163e+06
409.605 2.07709e+06
407.442 2.10987e+06
405.292 2.102e+06
403.157 2.0849e+06
401.036 2.06722e+06
398.929 2.0851e+06
396.836 2.07538e+06
394.756 2.08937e+06
392.69 2.07806e+06
390.638 2.09614e+06
388.599 2.06786e+06
386.573 2.08423e+06
384.56 2.08653e+06
382.561 2.10807e+06
380.574 2.11308e+06
378.601 2.0742e+06
376.64 2.06989e+06
374.691 2.09175e+06
372.756 2.09691e+06
370.833 2.08458e+06
368.922 2.10774e+06
367.023 2.08327e+06
365.137 2.10987e+06
363.263 2.07581e+06
361.401 2.10687e+06
359.55 2.09363e+06
357.712 2.10798e+06
355.885 2.0957e+06
354.07 2.10707e+06
352.266 2.10775e+06
350.474 2.07808e+06
348.694 2.07397e+06
346.924 2.07914e+06
345.166 2.07515e+06
343.419 2.07246e+06
341.683 2.09627e+06
339.958 2.10496e+06
338.244 2.08067e+06
336.54 2.07646e+06
334.848 2.09713e+06
333.165 2.09768e+06
331.494 2.07517e+06
329.833 2.09528e+06
328.182 2.10674e+06
326.542 2.08347e+06
324.912 2.08566e+06
323.292 2.11733e+06
321.682 2.0968e+06
320.082 2.07214e+06
318.492 2.09033e+06
316.912 2.10864e+06
315.342 2.06711e+06
313.781 2.10001e+06
312.23 2.09537e+06
310.689 2.07936e+06
309.157 2.09088e+06
307.634 2.09066e+06
306.121 2.07538e+06
304.617 2.07302e+06
303.123 2.11442e+06
301.637 2.06861e+06
300.161 2.10629e+06
298.694 2.10663e+06
297.235 2.09561e+06
295.786 2.07472e+06
294.345 2.06935e+06
292.913 2.07375e+06
291.49 2.0797e+06
290.075 2.10375e+06
288.669 2.11722e+06
287.272 2.11802e+06
285.883 2.07377e+06
284.502 2.1123e+06
283.13 2.09252e+06
281.766 2.07193e+06
280.41 2.06905e+06
279.062 2.06711e+06
277.722 2.07817e+06
276.391 2.10952e+06
275.067 2.10987e+06
273.751 2.07311e+06
272.443 2.08915e+06
271.143 2.08826e+06
269.851 2.10541e+06
268.566 2.11813e+06
267.289 2.06636e+06
266.02 2.10067e+06
264.758 2.10764e+06
263.504 2.10519e+06
262.256 2.10165e+06
261.017 2.09493e+06
259.784 2.09001e+06
258.559 2.11176e+06
257.342 2.10531e+06
256.131 2.11813e+06
254.927 2.08935e+06
253.731 2.08467e+06
252.541 2.07162e+06
251.359 2.09362e+06
250.183 2.1142e+06
249.014 2.10918e+06
247.852 2.10664e+06
246.697 2.10842e+06
245.549 2.10233e+06
244.407 2.11858e+06
243.272 2.07741e+06
242.143 2.08327e+06
241.021 2.10421e+06
239.905 2.10596e+06
238.796 2.06852e+06
237.693 2.07451e+06
236.597 2.07797e+06
235.507 2.11221e+06
234.423 2.10976e+06
233.346 2.07227e+06
232.274 2.11735e+06
231.209 2.08252e+06
230.15 2.08686e+06
229.097 2.07709e+06
228.05 2.10519e+06
227.009 2.07377e+06
225.974 2.10231e+06
224.944 2.10021e+06
223.921 2.10111e+06
